,,,x,y,z,xyz,,,,,x,y,z,xyz,,,,,G,A,
25.5,,194,1.6,-2,-0.2,2.55,1.61245155,,,194,2.1,44.8,41.8,61.3,,,194,-2,41.8,162.169,41.8
7.1,,195,0.3,-0.5,0.4,0.71,0.5,,,195,24.5,-45.4,222.6,228.5,,,195,-0.5,222.6,12.169,222.6
10.1,,196,0.6,0.2,0.8,1.01,1,,,196,135.7,27.1,77.7,158.7,,,196,0.2,77.7,57.831,77.7
13.8,,197,1.2,0.4,0.4,1.38,1.264911064,,,197,-90.9,77.2,16,120.3,,,197,0.4,16,77.831,16
5.4,,198,0.5,0.3,0,0.54,0.5,,,198,-109,26.4,-127.7,169.9,,,198,0.3,-127.7,67.831,127.7
16.9,,199,1.6,-0.1,0.6,1.69,1.708800749,,,199,25.7,-95.8,-250,269,,,199,-0.1,-250,27.831,250
24.9,,200,1.5,-2,0.3,2.49,1.529705854,,,200,8.7,10.4,160.2,160.8,,,200,-2,160.2,162.169,160.2
10.2,,201,0.7,-0.5,0.6,1.02,0.921954446,,,201,-8.8,-138.6,216.4,257.1,,,201,-0.5,216.4,12.169,216.4
12.4,,202,1,0.5,0.5,1.24,1.118033989,,,202,44.8,-66.3,118.2,142.7,,,202,0.5,118.2,87.831,118.2
15.5,,203,1.4,-0.1,0.7,1.55,1.565247584,,,203,-5.6,35,-67.9,76.6,,,203,-0.1,-67.9,27.831,67.9
7.5,,204,0.6,-0.1,0.5,0.75,0.781024968,,,204,-9.9,38.5,-159,163.9,,,204,-0.1,-159,27.831,159
22.5,,205,0.9,-1.9,0.9,2.25,1.272792206,,,205,136,190.6,-185.9,299,,,205,-1.9,-185.9,152.169,185.9
18.7,,206,0.8,-1.6,0.6,1.87,1,,,206,-69.4,-121.9,190.9,236.9,,,206,-1.6,190.9,122.169,190.9
9.2,,207,0.6,0.2,0.7,0.92,0.921954446,,,207,-28.1,-80.5,162.2,183.3,,,207,0.2,162.2,57.831,162.2
12.6,,208,0.9,-0.1,0.9,1.26,1.272792206,,,208,12.2,30.3,-6.8,33.4,,,208,-0.1,-6.8,27.831,6.8
13.8,,209,1.2,0.1,0.6,1.38,1.341640786,,,209,-88.3,108.4,-113.8,180.3,,,209,0.1,-113.8,47.831,113.8
8.5,,210,0.8,0,0.4,0.85,0.894427191,,,210,0.2,15.4,-197,197.6,,,210,0,-197,37.831,197
24.8,,211,1.5,-1.5,1.2,2.48,1.920937271,,,211,104.6,86.2,-250,284.4,,,211,-1.5,-250,112.169,250
18.2,,212,0.9,-1.6,0.2,1.82,0.921954446,,,212,-54.7,-69.9,213.1,230.8,,,212,-1.6,213.1,122.169,213.1
8.5,,213,0.5,-0.4,0.5,0.85,0.707106781,,,213,-28.2,-37.8,182.7,188.7,,,213,-0.4,182.7,2.169,182.7
17.9,,214,1.3,0.2,1.2,1.79,1.769180601,,,214,53.3,63.3,70.4,108.6,,,214,0.2,70.4,57.831,70.4
15.1,,215,1.3,-0.1,0.7,1.51,1.476482306,,,215,-86.9,24.2,-37.2,97.5,,,215,-0.1,-37.2,27.831,37.2
3,,216,0.2,0,0.2,0.3,0.282842712,,,216,-64.1,4,-128.4,143.6,,,216,0,-128.4,37.831,128.4
16.3,,217,1,-0.7,1,1.63,1.414213562,,,217,92.5,-140.2,-250,301.2,,,217,-0.7,-250,32.169,250
22.1,,218,1.5,-1.6,-0.3,2.21,1.529705854,,,218,78.9,-7.2,-38.4,88,,,218,-1.6,-38.4,122.169,38.4
8.3,,219,0,-0.8,0.3,0.83,0.3,,,219,37.5,-58.3,86.5,110.9,,,219,-0.8,86.5,42.169,86.5
10.7,,220,0.7,-0.6,0.5,1.07,0.860232527,,,220,76.9,11,30.9,83.6,,,220,-0.6,30.9,22.169,30.9
21.1,,221,2,0.3,0.7,2.11,2.11896201,,,221,-61.9,107.4,154.1,197.8,,,221,0.3,154.1,67.831,154.1
9.5,,222,0.8,0.5,0.2,0.95,0.824621125,,,222,-75,38.3,28.2,88.8,,,222,0.5,28.2,87.831,28.2
8.3,,223,0.7,0.2,0.5,0.83,0.860232527,,,223,31.9,-56,-250,258.2,,,223,0.2,-250,57.831,250
25.5,,224,1.6,-2,0.1,2.55,1.603121954,,,224,35.6,104.4,-14.3,111.2,,,224,-2,-14.3,162.169,14.3
10.4,,225,0.5,-0.9,0.1,1.04,0.509901951,,,225,-65.4,48.5,250,262.9,,,225,-0.9,250,52.169,250
12.2,,226,1,-0.2,0.6,1.22,1.166190379,,,226,25.8,19.4,47.9,57.7,,,226,-0.2,47.9,17.831,47.9
18.7,,227,1.6,0.3,1,1.87,1.886796226,,,227,-7.9,97.7,38.5,105.3,,,227,0.3,38.5,67.831,38.5
10,,228,0.9,0.2,0.2,1,0.921954446,,,228,25.7,-28.9,-114.3,120.7,,,228,0.2,-114.3,57.831,114.3
12.1,,229,0.9,-0.7,0.4,1.21,0.98488578,,,229,88.9,13.9,-234.3,251,,,229,-0.7,-234.3,32.169,234.3
23.4,,230,1.1,-2,0.6,2.34,1.252996409,,,230,-9.4,46.7,22.9,52.8,,,230,-2,22.9,162.169,22.9
11.1,,231,0.8,-0.6,0.4,1.11,0.894427191,,,231,-68,-60.1,228.2,245.6,,,231,-0.6,228.2,22.169,228.2
10.1,,232,0.7,0.2,0.7,1.01,0.989949494,,,232,-6.8,-3,117.2,117.5,,,232,0.2,117.2,57.831,117.2
21.3,,233,1.8,0.2,1.2,2.13,2.163330765,,,233,-104,104.1,-29.4,150.1,,,233,0.2,-29.4,57.831,29.4
6.5,,234,0.6,0,0.2,0.65,0.632455532,,,234,-11.6,-36.9,-149,153.9,,,234,0,-149,37.831,149
11.7,,235,0.7,-0.5,0.8,1.17,1.063014581,,,235,127.2,25.9,-218.8,254.4,,,235,-0.5,-218.8,12.169,218.8
22.6,,236,1,-1.9,0.7,2.26,1.220655562,,,236,-60.9,-25.8,51.1,83.6,,,236,-1.9,51.1,152.169,51.1
10.6,,237,0.8,-0.7,0.3,1.06,0.854400375,,,237,-164.2,-75.7,227.6,290.7,,,237,-0.7,227.6,32.169,227.6
9.4,,238,0.7,-0.2,0.6,0.94,0.921954446,,,238,25.6,49.2,74.3,92.7,,,238,-0.2,74.3,17.831,74.3
19.4,,239,1.6,-0.1,1.1,1.94,1.941648784,,,239,-12.8,29.9,53.3,62.4,,,239,-0.1,53.3,27.831,53.3
5.9,,240,0.5,0.1,0.4,0.59,0.640312424,,,240,29.4,14,-133.8,137.7,,,240,0.1,-133.8,47.831,133.8
12.1,,241,0.8,-0.5,0.7,1.21,1.063014581,,,241,94.7,35.4,-250,269.7,,,241,-0.5,-250,12.169,250
19.6,,242,0.9,-1.7,0.4,1.96,0.98488578,,,242,23.8,-2.3,45.7,51.6,,,242,-1.7,45.7,132.169,45.7
7.2,,243,0.6,-0.3,0.2,0.72,0.632455532,,,243,-55.2,28.8,250,257.6,,,243,-0.3,250,7.831,250
10.6,,244,0.5,-0.3,0.9,1.06,1.029563014,,,244,41.7,-96.3,53,117.6,,,244,-0.3,53,7.831,53
17,,245,1.5,0,0.9,1.7,1.749285568,,,245,-105.5,156,110.6,218.4,,,245,0,110.6,37.831,110.6
8.8,,246,0.8,0.3,0,0.88,0.8,,,246,-62.5,20.8,-84.8,107.4,,,246,0.3,-84.8,67.831,84.8
6.3,,247,0.2,0,0.6,0.63,0.632455532,,,247,159,10.1,-208.1,262.1,,,247,0,-208.1,37.831,208.1
31,,248,1.8,-2,1.6,3.1,2.408318916,,,248,58.9,58.3,-83.7,117.8,,,248,-2,-83.7,162.169,83.7
8,,249,0,-0.8,-0.2,0.8,0.2,,,249,-78.3,-34.2,130.9,156.3,,,249,-0.8,130.9,42.169,130.9
9.4,,250,0.1,-0.8,0.5,0.94,0.509901951,,,250,29.1,-22.9,191.2,194.7,,,250,-0.8,191.2,42.169,191.2
24.3,,251,2,0,1.4,2.43,2.441311123,,,251,36.3,85.1,180.2,202.6,,,251,0,180.2,37.831,180.2
11.7,,252,1.1,0.2,0.2,1.17,1.118033989,,,252,8,72,-76,105,,,252,0.2,-76,57.831,76
8.5,,253,0.6,0,0.6,0.85,0.848528137,,,253,103.2,-27.2,-250,271.8,,,253,0,-250,37.831,250
25.5,,254,1.3,-2,0.9,2.55,1.58113883,,,254,-19.8,100.7,-1.1,102.7,,,254,-2,-1.1,162.169,1.1
8.4,,255,0.4,-0.7,0.1,0.84,0.412310563,,,255,-102.2,-80.9,170.6,214.7,,,255,-0.7,170.6,32.169,170.6
10.8,,256,0.6,-0.6,0.7,1.08,0.921954446,,,256,29.8,-116.9,152.3,194.3,,,256,-0.6,152.3,22.169,152.3
23.9,,257,2,0.3,1.3,2.39,2.385372088,,,257,-11.1,-25.5,154,156.5,,,257,0.3,154,67.831,154
9.1,,258,0.8,0.2,0.3,0.91,0.854400375,,,258,-22.1,39,-180.2,185.7,,,258,0.2,-180.2,57.831,180.2
14.6,,259,0.9,-0.6,0.9,1.46,1.272792206,,,259,101.3,92.4,-250,285.1,,,259,-0.6,-250,22.169,250
23.9,,260,1.2,-2,0.5,2.39,1.3,,,260,8.1,53.5,13.6,55.8,,,260,-2,13.6,162.169,13.6
7,,261,0,-0.7,0.1,0.7,0.1,,,261,-70.3,-162.5,195.8,264,,,261,-0.7,195.8,32.169,195.8
14.2,,262,1,-0.5,0.8,1.42,1.280624847,,,262,89.2,-31.4,149.6,177,,,262,-0.5,149.6,12.169,149.6
23.8,,263,2,-0.2,1.3,2.38,2.385372088,,,263,-77.9,31.3,46.7,96.1,,,263,-0.2,46.7,17.831,46.7
7.2,,264,0.5,0.4,0.3,0.72,0.583095189,,,264,-19,90.1,-134.1,162.7,,,264,0.4,-134.1,77.831,134.1
5.6,,265,0.3,-0.1,0.4,0.56,0.5,,,265,250,3,-132,282.7,,,265,-0.1,-132,27.831,132
32.5,,266,1.5,-2,2.1,3.25,2.58069758,,,266,-40.2,5.4,-61.5,73.7,,,266,-2,-61.5,162.169,61.5
10.4,,267,0.1,-1,0.2,1.04,0.223606798,,,267,-180.9,-60.6,202.4,278.1,,,267,-1,202.4,62.169,202.4
13,,268,0.8,-0.4,1,1.3,1.280624847,,,268,-42.7,-59.3,156.7,172.9,,,268,-0.4,156.7,2.169,156.7
26.6,,269,2,0.3,1.8,2.66,2.690724809,,,269,-37.3,72.3,49.8,95.4,,,269,0.3,49.8,67.831,49.8
8.5,,270,0.8,-0.1,0.3,0.85,0.854400375,,,270,-33.5,3.8,-120.3,125,,,270,-0.1,-120.3,27.831,120.3
13,,271,1,-0.4,0.7,1.3,1.220655562,,,271,144,-114.6,-250,310.4,,,271,-0.4,-250,2.169,250
21.7,,272,0.6,-2,0.5,2.17,0.781024968,,,272,21.7,53.4,-25.1,62.9,,,272,-2,-25.1,162.169,25.1
12.5,,273,0.5,-1.1,0.4,1.25,0.640312424,,,273,-127.3,74.8,250,290.3,,,273,-1.1,250,72.169,250
9.4,,274,0.9,-0.1,0.4,0.94,0.98488578,,,274,-6.8,-20.1,171.6,172.9,,,274,-0.1,171.6,27.831,171.6
26.4,,275,2,0.2,1.7,2.64,2.62488095,,,275,-54.6,100.8,60.1,129.4,,,275,0.2,60.1,57.831,60.1
8.4,,276,0.7,0,0.5,0.84,0.860232527,,,276,55.3,-53.3,-180.7,196.3,,,276,0,-180.7,37.831,180.7
10.2,,277,0.6,-0.7,0.4,1.02,0.721110255,,,277,116,-9,-250,275.7,,,277,-0.7,-250,32.169,250
26,,278,1.4,-2,0.8,2.6,1.61245155,,,278,0.5,41.2,30.5,51.3,,,278,-2,30.5,162.169,30.5
12.3,,279,0.8,-0.7,0.6,1.23,1,,,279,-48,49.3,250,259.3,,,279,-0.7,250,32.169,250
13.9,,280,1.3,0.2,0.3,1.39,1.334166406,,,280,38.6,-12.7,141.5,147.2,,,280,0.2,141.5,57.831,141.5
23,,281,2,0.3,1.2,2.3,2.332380758,,,281,52,27.1,-32.9,67.2,,,281,0.3,-32.9,67.831,32.9
13.9,,282,1.1,-0.4,0.8,1.39,1.360147051,,,282,54,-30.9,-162.1,173.6,,,282,-0.4,-162.1,2.169,162.1
7.9,,283,-0.1,-0.8,0.2,0.79,0.223606798,,,283,-3.9,-57.7,-175.8,185.1,,,283,-0.8,-175.8,42.169,175.8
11.2,,284,0.6,-0.7,0.6,1.12,0.848528137,,,284,39.5,19.1,-57.3,72.2,,,284,-0.7,-57.3,32.169,57.3
16.6,,285,1.3,-0.1,1,1.66,1.640121947,,,285,-10.2,-51.3,128.3,138.5,,,285,-0.1,128.3,27.831,128.3
9.3,,286,0.7,0.1,0.6,0.93,0.921954446,,,286,8.6,-74.2,84.7,112.9,,,286,0.1,84.7,47.831,84.7
10.1,,287,0.9,0.1,0.5,1.01,1.029563014,,,287,45.7,64.5,15.4,80.5,,,287,0.1,15.4,47.831,15.4
10.4,,288,0.7,-0.2,0.7,1.04,0.989949494,,,288,51,-44.2,54.4,86.7,,,288,-0.2,54.4,17.831,54.4
10.4,,289,0.7,-0.1,0.8,1.04,1.063014581,,,289,12.8,-18.1,11.3,24.9,,,289,-0.1,11.3,27.831,11.3
10.9,,290,0.8,-0.2,0.7,1.09,1.063014581,,,290,12.8,14.5,20,27.8,,,290,-0.2,20,17.831,20
10.2,,291,0.7,-0.2,0.7,1.02,0.989949494,,,291,20.5,-13.6,6.9,25.5,,,291,-0.2,6.9,17.831,6.9
10.2,,292,0.7,-0.1,0.7,1.02,0.989949494,,,292,9.2,7.2,8.2,14.3,,,292,-0.1,8.2,27.831,8.2
10.2,,293,0.7,-0.1,0.7,1.02,0.989949494,,,293,21.8,-2.4,6.9,23,,,293,-0.1,6.9,27.831,6.9
10.2,,294,0.7,-0.1,0.7,1.02,0.989949494,,,294,22.2,-4.5,13.4,26.3,,,294,-0.1,13.4,27.831,13.4
10.2,,295,0.7,-0.1,0.7,1.02,0.989949494,,,295,25.1,-0.1,23.3,34.3,,,295,-0.1,23.3,27.831,23.3
