,,,x,y,z,xyz,,,,,x,y,z,xyz,,,,,G,A,
12.6,,45,1.1,0.3,0.5,1.26,1.208304597,,,45,26.4,31.5,-78.1,88.3,,,45,0.3,-78.1,67.831,78.1
2.2,,46,0,0,0.2,0.22,0.2,,,46,-21.2,-49,-30.8,61.7,,,46,0,-30.8,37.831,30.8
23.2,,47,1.7,-1.3,0.8,2.32,1.878829423,,,47,-54.9,-104.3,161.2,199.7,,,47,-1.3,161.2,92.169,161.2
4.4,,48,0.3,-0.1,0.3,0.44,0.424264069,,,48,-28.7,-1.4,40.2,49.4,,,48,-0.1,40.2,27.831,40.2
9.4,,49,0.7,-0.3,0.6,0.94,0.921954446,,,49,67.4,-17,-62.7,93.6,,,49,-0.3,-62.7,7.831,62.7
15.7,,50,1.4,0,0.7,1.57,1.565247584,,,50,50.8,34.1,-67.5,91.1,,,50,0,-67.5,37.831,67.5
2,,51,0,-0.1,0.2,0.2,0.2,,,51,-16.7,-22.9,3.4,28.5,,,51,-0.1,3.4,27.831,3.4
28.6,,52,2,-1.8,1,2.86,2.236067977,,,52,-79.8,4.9,94.2,123.5,,,52,-1.8,94.2,142.169,94.2
7.1,,53,0.6,0.1,0.4,0.71,0.721110255,,,53,-33,-28.7,35.7,56.5,,,53,0.1,35.7,47.831,35.7
5.5,,54,0.3,0.1,0.5,0.55,0.583095189,,,54,81.3,-37.6,-119.7,149.5,,,54,0.1,-119.7,47.831,119.7
15.9,,55,1.3,0,0.9,1.59,1.58113883,,,55,93.6,136.5,-56.4,174.9,,,55,0,-56.4,37.831,56.4
3.7,,56,0.2,-0.2,0.3,0.37,0.360555128,,,56,-65.1,-34.2,87.9,114.6,,,56,-0.2,87.9,17.831,87.9
4.6,,57,0,-0.5,0.1,0.46,0.1,,,57,-119,-26.3,-14,122.6,,,57,-0.5,-14,12.169,14
30.8,,58,2,-2,1.3,3.08,2.385372088,,,58,-40,0.2,51.9,65.5,,,58,-2,51.9,162.169,51.9
6.3,,59,0.4,0.5,0.1,0.63,0.412310563,,,59,73.4,-71.9,27.4,106.4,,,59,0.5,27.4,87.831,27.4
6.7,,60,0.4,0.4,0.4,0.67,0.565685425,,,60,114.2,1.5,-155.1,192.6,,,60,0.4,-155.1,77.831,155.1
13,,61,1,-0.2,0.8,1.3,1.280624847,,,61,-3.9,-13,-13.5,19.2,,,61,-0.2,-13.5,17.831,13.5
