,,,,,,z|x,,,,,,,,Ay,Gz,Ay_
236,0.2,-0.8,0.4,9.8,0.98,0.447213595,,3.7,-51.3,17.7,54.4,,236,0.8,17.7,-42
237,0.2,-0.9,0.5,9.9,0.99,0.538516481,,-7.6,-19.7,30,36.7,,237,0.9,30,-12
238,0.2,-1,0.5,10.8,1.08,0.538516481,,-7.7,15.3,18.8,25.4,,238,1,18.8,18
239,0.2,-0.9,0.5,10.6,1.06,0.538516481,,1.5,27.9,-7.7,29,,239,0.9,-7.7,-12
240,0.2,-0.9,0.5,10.1,1.01,0.538516481,,4.7,53.3,-27.7,60.2,,240,0.9,-27.7,-12
241,0.2,-0.9,0.5,10.3,1.03,0.538516481,,13,77.1,-31.9,84.5,,241,0.9,-31.9,-12
242,0.2,-1.1,0.4,12.3,1.23,0.447213595,,37.1,88.6,-52.1,109.2,,242,1.1,-52.1,48
243,0.2,-1.1,0.3,11.6,1.16,0.360555128,,46.7,39.2,-68.7,91.9,,243,1.1,-68.7,48
244,0.1,-0.9,0.4,10,1,0.412310563,,45.9,2.8,-54.4,71.3,,244,0.9,-54.4,-12
245,0.2,-0.9,0.4,9.9,0.99,0.447213595,,22.2,-51.1,-16.1,58,,245,0.9,-16.1,-12
246,0.2,-0.9,0.4,9.7,0.97,0.447213595,,-8.2,13.4,-3.5,16.1,,246,0.9,-3.5,-12
247,0.2,-0.9,0.4,9.6,0.96,0.447213595,,-31.5,32.1,10.7,46.2,,247,0.9,10.7,-12
248,0.1,-0.9,0.3,9.6,0.96,0.316227766,,-42.2,20.4,27.6,54.4,,248,0.9,27.6,-12
249,0.1,-1,0.4,11.1,1.11,0.412310563,,-41.2,-29.7,55.1,74.9,,249,1,55.1,18
250,0.2,-1,0.4,10.5,1.05,0.447213595,,-31.1,-96.7,55.7,115.8,,250,1,55.7,18
251,0.2,-1,0.4,11.3,1.13,0.447213595,,-12.1,-77.2,46.8,91.1,,251,1,46.8,18
252,0.2,-1,0.5,10.9,1.09,0.538516481,,-3.5,-72.1,32.7,79.3,,252,1,32.7,18
253,0.2,-0.9,0.4,10.1,1.01,0.447213595,,4.4,-67.8,8.9,68.5,,253,0.9,8.9,-12
254,0.1,-0.9,0.5,9.9,0.99,0.509901951,,2.3,-36.9,10.4,38.4,,254,0.9,10.4,-12
255,0.2,-0.9,0.5,10.6,1.06,0.538516481,,5.1,9.4,0.6,10.7,,255,0.9,0.6,-12
256,0.3,-0.8,0.5,9.9,0.99,0.583095189,,0.7,35.8,-7.8,36.6,,256,0.8,-7.8,-42
257,0.3,-0.9,0.4,10.6,1.06,0.5,,-6.6,57.4,-23.9,62.5,,257,0.9,-23.9,-12
258,0.3,-1,0.4,10.9,1.09,0.5,,14.1,69.5,-54.6,89.5,,258,1,-54.6,18
259,0.3,-1.1,0.4,12,1.2,0.5,,25.3,59.9,-70.8,96.1,,259,1.1,-70.8,48
260,0.2,-1,0.3,10.6,1.06,0.360555128,,27.8,47.8,-78.7,96.2,,260,1,-78.7,18
261,0.2,-0.9,0.3,10.1,1.01,0.360555128,,17.7,30.6,-50.7,61.8,,261,0.9,-50.7,-12
262,0.2,-0.9,0.3,9.6,0.96,0.360555128,,5.7,4.2,-26.9,27.8,,262,0.9,-26.9,-12
263,0.2,-0.9,0.3,9.5,0.95,0.360555128,,-13.8,-6.3,9.7,18,,263,0.9,9.7,-12
264,0.2,-0.9,0.4,10.1,1.01,0.447213595,,-30.6,-1,43,52.8,,264,0.9,43,-12
265,0.2,-1,0.3,10.3,1.03,0.360555128,,-38.2,-15.7,57.5,70.8,,265,1,57.5,18
266,0.2,-1.1,0.3,11.4,1.14,0.360555128,,-32.2,-28.7,64.8,77.8,,266,1.1,64.8,48
267,0.2,-0.9,0.4,10,1,0.447213595,,-13.8,-103.7,55,118.2,,267,0.9,55,-12
268,0.2,-1,0.4,11,1.1,0.447213595,,-2,-46.3,46.8,65.9,,268,1,46.8,18
269,0.2,-1,0.4,10.7,1.07,0.447213595,,-1.7,-53.1,35.1,63.7,,269,1,35.1,18
270,0.2,-0.9,0.4,9.9,0.99,0.447213595,,-8.1,-18.2,17.9,26.8,,270,0.9,17.9,-12
271,0.2,-0.9,0.5,10.5,1.05,0.538516481,,-7.8,6.1,-2.7,10.2,,271,0.9,-2.7,-12
272,0.2,-0.9,0.5,10.5,1.05,0.538516481,,4,26.6,-28.5,39.2,,272,0.9,-28.5,-12
273,0.2,-0.9,0.5,10.8,1.08,0.538516481,,11.8,42.7,-49.7,66.6,,273,0.9,-49.7,-12
274,0.3,-1.1,0.5,12.1,1.21,0.583095189,,20.7,80,-68.1,107.1,,274,1.1,-68.1,48
275,0.2,-1.1,0.4,12.1,1.21,0.447213595,,39.8,61.1,-80.2,108.4,,275,1.1,-80.2,48
276,0.2,-0.9,0.3,10.1,1.01,0.360555128,,40.3,18,-87.2,97.8,,276,0.9,-87.2,-12
277,0.2,-0.9,0.4,9.9,0.99,0.447213595,,20.5,17.9,-48.6,55.7,,277,0.9,-48.6,-12
278,0.2,-0.8,0.4,8.8,0.88,0.447213595,,3,-18.3,-17.6,25.6,,278,0.8,-17.6,-42
279,0.3,-0.8,0.4,9.5,0.95,0.5,,-22.1,-8.6,28.3,36.9,,279,0.8,28.3,-42
280,0.3,-0.9,0.4,10.3,1.03,0.5,,-36.3,-8.8,57.1,68.3,,280,0.9,57.1,-12
281,0.3,-1,0.4,10.8,1.08,0.5,,-38,-12,66.5,77.6,,281,1,66.5,18
282,0.2,-0.9,0.4,10.2,1.02,0.447213595,,-38.9,-58,77.2,104.1,,282,0.9,77.2,-12
283,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-23.9,-43.3,61.4,78.8,,283,0.9,61.4,-12
284,0.2,-1.1,0.4,11.8,1.18,0.447213595,,-15.7,-60.5,51.1,80.7,,284,1.1,51.1,48
285,0.2,-0.9,0.4,10.2,1.02,0.447213595,,-11.8,-50.1,36,62.8,,285,0.9,36,-12
286,0.1,-0.9,0.5,10.1,1.01,0.509901951,,-4.3,-12.5,19.3,23.4,,286,0.9,19.3,-12
287,0.2,-0.9,0.4,10.2,1.02,0.447213595,,3.8,22.1,-9,24.1,,287,0.9,-9,-12
288,0.1,-0.9,0.4,10,1,0.412310563,,15.3,20.7,-29.6,39.3,,288,0.9,-29.6,-12
289,0.2,-1,0.4,10.5,1.05,0.447213595,,12.8,49.6,-44.8,68,,289,1,-44.8,18
290,0.2,-1,0.3,10.5,1.05,0.360555128,,29.9,57.9,-65.3,92.3,,290,1,-65.3,18
291,0.1,-1.1,0.3,11.5,1.15,0.316227766,,39,41.5,-76.4,95.3,,291,1.1,-76.4,48
292,0.2,-1,0.3,11.2,1.12,0.360555128,,32.7,29.9,-76.6,88.5,,292,1,-76.6,18
293,0.2,-0.8,0.3,9.1,0.91,0.360555128,,14.8,-5.6,-47,49.6,,293,0.8,-47,-42
294,0.2,-0.8,0.4,9.3,0.93,0.447213595,,-10.7,7.3,-1.6,13.1,,294,0.8,-1.6,-42
295,0.2,-0.9,0.3,9.5,0.95,0.360555128,,-34.4,3.7,38.9,52.1,,295,0.9,38.9,-12
296,0.2,-1,0.3,10.5,1.05,0.360555128,,-43.3,-5.4,55.2,70.3,,296,1,55.2,18
297,0.2,-1.2,0.4,12.7,1.27,0.447213595,,-39.8,-27.1,66.3,81.9,,297,1.2,66.3,78
298,0.2,-0.9,0.3,9.9,0.99,0.360555128,,-22.7,-72.4,48.1,89.8,,298,0.9,48.1,-12
299,0.1,-1.1,0.3,11.1,1.11,0.316227766,,-20.9,-34.9,57.3,70.3,,299,1.1,57.3,48
300,0.1,-1,0.4,10.6,1.06,0.412310563,,-12.1,-63.1,49.6,81.1,,300,1,49.6,18
301,0.2,-0.9,0.5,10.4,1.04,0.538516481,,-2.9,-27.2,24.1,36.4,,301,0.9,24.1,-12
302,0.1,-0.9,0.4,10.5,1.05,0.412310563,,7,15.6,-8.6,19.1,,302,0.9,-8.6,-12
303,0.1,-0.9,0.4,10.1,1.01,0.412310563,,14.5,23.8,-33,43.2,,303,0.9,-33,-12
304,0.2,-0.9,0.4,9.8,0.98,0.447213595,,11.7,16,-43.2,47.6,,304,0.9,-43.2,-12
305,0.2,-1,0.4,10.4,1.04,0.447213595,,12.1,64.2,-46.2,80,,305,1,-46.2,18
306,0.2,-1.1,0.3,11.4,1.14,0.360555128,,33.2,37.6,-70.5,86.5,,306,1.1,-70.5,48
307,0.2,-1.1,0.3,11.2,1.12,0.360555128,,32.1,50.5,-80.8,100.5,,307,1.1,-80.8,48
308,0.2,-0.9,0.3,9.8,0.98,0.360555128,,15.1,14,-50.2,54.3,,308,0.9,-50.2,-12
309,0.2,-0.8,0.3,9.2,0.92,0.360555128,,-7.8,8.6,-16.7,20.3,,309,0.8,-16.7,-42
310,0.2,-0.9,0.3,10.2,1.02,0.360555128,,-24.6,1.6,22.8,33.6,,310,0.9,22.8,-12
311,0.2,-0.9,0.3,10.3,1.03,0.360555128,,-30.9,-15.8,46.5,58,,311,0.9,46.5,-12
312,0.2,-1,0.4,11.2,1.12,0.447213595,,-28.5,-1.9,54.8,61.8,,312,1,54.8,18
313,0.2,-1,0.4,10.4,1.04,0.447213595,,-21.8,-48.2,56.5,77.4,,313,1,56.5,18
314,0.2,-0.9,0.4,9.7,0.97,0.447213595,,-10.4,-6.2,42.2,43.9,,314,0.9,42.2,-12
315,0.1,-1,0.4,11.2,1.12,0.412310563,,-1,-52.8,44.8,69.2,,315,1,44.8,18
316,0.1,-1,0.4,10.7,1.07,0.412310563,,-0.2,-68.9,36.1,77.8,,316,1,36.1,18
317,0.1,-0.9,0.4,10.1,1.01,0.412310563,,-6.8,-21.4,19.7,29.8,,317,0.9,19.7,-12
318,0.1,-0.9,0.4,10,1,0.412310563,,-6.1,20,2,21,,318,0.9,2,-12
319,0.1,-0.9,0.4,9.6,0.96,0.412310563,,3.6,21.4,-16.6,27.3,,319,0.9,-16.6,-12
320,0.2,-0.9,0.4,9.8,0.98,0.447213595,,0.4,34,-20.8,39.9,,320,0.9,-20.8,-12
321,0.2,-1.1,0.4,12.2,1.22,0.447213595,,7.7,69.1,-36.5,78.5,,321,1.1,-36.5,48
322,0.2,-1.1,0.4,12.3,1.23,0.447213595,,48.9,28.1,-78.1,96.3,,322,1.1,-78.1,48
323,0.1,-1,0.3,10.4,1.04,0.316227766,,63.1,8,-98.2,117,,323,1,-98.2,18
324,0.1,-1,0.4,10.9,1.09,0.412310563,,45.7,38.6,-73.5,94.8,,324,1,-73.5,18
325,0.1,-0.8,0.4,8.6,0.86,0.412310563,,14.6,-9,-28.6,33.3,,325,0.8,-28.6,-42
326,0.2,-0.8,0.4,8.9,0.89,0.447213595,,-14.3,6.2,3.9,16.1,,326,0.8,3.9,-42
327,0.2,-0.9,0.4,10,1,0.447213595,,-37.6,5.6,48.6,61.6,,327,0.9,48.6,-12
328,0.2,-0.9,0.4,10.4,1.04,0.447213595,,-36.4,-17.9,61,73.3,,328,0.9,61,-12
329,0.2,-1.1,0.5,12.2,1.22,0.538516481,,-38.5,-34.3,83.9,98.5,,329,1.1,83.9,48
330,0.3,-0.9,0.4,10.5,1.05,0.5,,-22.9,-96.5,76.1,125,,330,0.9,76.1,-12
331,0.2,-1.1,0.5,11.7,1.17,0.538516481,,-10,-58.3,72.1,93.3,,331,1.1,72.1,48
332,0.1,-1,0.5,10.6,1.06,0.509901951,,4.8,-87.5,50.2,101,,332,1,50.2,18
333,0.1,-0.9,0.5,10,1,0.509901951,,3.7,-36.3,32.6,48.9,,333,0.9,32.6,-12
334,0.1,-0.9,0.5,9.9,0.99,0.509901951,,9.6,-25.7,9.7,29.1,,334,0.9,9.7,-12
335,0.1,-0.9,0.5,9.8,0.98,0.509901951,,5.4,-13.1,-15.7,21.1,,335,0.9,-15.7,-12
336,0.1,-0.9,0.5,9.8,0.98,0.509901951,,5.5,6.9,-35.5,36.6,,336,0.9,-35.5,-12
337,0.1,-0.9,0.5,10.4,1.04,0.509901951,,9.8,20.1,-46.1,51.3,,337,0.9,-46.1,-12
338,0.1,-0.9,0.5,10.7,1.07,0.509901951,,6.6,32.6,-41,52.8,,338,0.9,-41,-12
339,0.1,-1,0.5,10.8,1.08,0.509901951,,25.5,31,-41.7,57.9,,339,1,-41.7,18
340,0.1,-0.8,0.4,9.5,0.95,0.412310563,,11.6,-39.7,-24.6,48.1,,340,0.8,-24.6,-42
341,0.1,-0.9,0.5,9.9,0.99,0.509901951,,-13.1,8,9,17.8,,341,0.9,9,-12
342,0.2,-0.9,0.5,10.5,1.05,0.538516481,,-13.9,-14.1,21.3,29.1,,342,0.9,21.3,-12
343,0.3,-0.9,0.5,10.6,1.06,0.583095189,,-9.6,-29.6,18.4,36.1,,343,0.9,18.4,-12
344,0.2,-0.9,0.5,10.5,1.05,0.538516481,,-7.2,-20.8,13.6,25.9,,344,0.9,13.6,-12
345,0.2,-0.9,0.5,10.5,1.05,0.538516481,,-1.1,-21.5,8.3,23.1,,345,0.9,8.3,-12
346,0.2,-0.9,0.5,10.3,1.03,0.538516481,,3.1,-21.2,4.4,21.9,,346,0.9,4.4,-12
347,0.2,-0.9,0.5,10.2,1.02,0.538516481,,0.6,-12.4,5.8,13.7,,347,0.9,5.8,-12
348,0.2,-0.9,0.5,10.4,1.04,0.538516481,,0.7,-8.4,6.2,10.5,,348,0.9,6.2,-12
349,0.3,-0.9,0.5,10.2,1.02,0.583095189,,-0.9,-8.2,3.7,9,,349,0.9,3.7,-12
350,0.2,-0.9,0.5,10.3,1.03,0.538516481,,-3.1,-3.6,3.6,5.9,,350,0.9,3.6,-12
351,0.2,-0.9,0.5,10.3,1.03,0.538516481,,-5.2,2.2,1.2,5.8,,351,0.9,1.2,-12
352,0.2,-0.9,0.5,10.4,1.04,0.538516481,,-4.2,2.1,2.6,5.4,,352,0.9,2.6,-12
353,0.2,-0.9,0.4,10.2,1.02,0.447213595,,-2.3,-2.4,3.2,4.6,,353,0.9,3.2,-12
354,0.2,-0.9,0.4,10.2,1.02,0.447213595,,-4.2,-2.5,3.4,5.9,,354,0.9,3.4,-12
355,0.2,-0.9,0.4,10.2,1.02,0.447213595,,-4.1,-1.4,1.9,4.7,,355,0.9,1.9,-12
356,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-2.8,-2.3,-0.4,3.7,,356,0.9,-0.4,-12
357,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-3.6,-0.2,-0.1,3.6,,357,0.9,-0.1,-12
358,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-3.9,0,0.2,3.9,,358,0.9,0.2,-12
359,0.2,-0.9,0.4,10.2,1.02,0.447213595,,-4,-0.9,1.2,4.3,,359,0.9,1.2,-12
360,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-2.2,-0.4,0.3,2.3,,360,0.9,0.3,-12
361,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-0.4,-1.7,0.7,1.9,,361,0.9,0.7,-12
362,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-0.5,-1.3,1.5,2,,362,0.9,1.5,-12
363,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-0.8,-2,1.3,2.5,,363,0.9,1.3,-12
364,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-0.8,-1.9,1.5,2.6,,364,0.9,1.5,-12
365,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-0.2,-2.4,1.1,2.7,,365,0.9,1.1,-12
366,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-0.5,-0.7,1.5,1.7,,366,0.9,1.5,-12
367,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-0.3,0.1,0.6,0.7,,367,0.9,0.6,-12
368,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-1,0.2,0.3,1,,368,0.9,0.3,-12
369,0.2,-0.9,0.4,10.2,1.02,0.447213595,,-1.8,0.7,0.2,2,,369,0.9,0.2,-12
370,0.2,-0.9,0.4,10.4,1.04,0.447213595,,-2.4,1.7,-0.3,2.9,,370,0.9,-0.3,-12
371,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-2.3,1.7,0.5,2.9,,371,0.9,0.5,-12
372,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-2.3,1.4,-0.3,2.8,,372,0.9,-0.3,-12
373,0.2,-0.9,0.4,10.2,1.02,0.447213595,,-2.9,1.9,0.2,3.5,,373,0.9,0.2,-12
374,0.2,-0.9,0.4,10.2,1.02,0.447213595,,-3.3,1.5,-0.6,3.7,,374,0.9,-0.6,-12
375,0.2,-0.9,0.4,10.4,1.04,0.447213595,,-2.8,0.3,-0.5,2.9,,375,0.9,-0.5,-12
376,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-2.1,0.1,0,2.1,,376,0.9,0,-12
377,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-2.2,1,0.1,2.4,,377,0.9,0.1,-12
378,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-2.1,0.9,-0.6,2.4,,378,0.9,-0.6,-12
379,0.2,-0.9,0.4,10.4,1.04,0.447213595,,-1.3,0.9,-0.3,1.6,,379,0.9,-0.3,-12
380,0.2,-0.9,0.4,10.2,1.02,0.447213595,,-1.8,2.2,-0.6,2.9,,380,0.9,-0.6,-12
381,0.2,-0.9,0.4,10.2,1.02,0.447213595,,-2.1,2.7,-0.9,3.5,,381,0.9,-0.9,-12
