,,,,,,z|x,,,,,,,,Ay,Gz,Ay_
54,0.1,-0.8,0.5,9.4,0.94,0.509901951,,-13.3,9.3,40.7,43.8,,54,0.8,40.7,-42
55,0.1,-0.8,0.5,9.7,0.97,0.509901951,,-11.1,14.3,15.1,23.6,,55,0.8,15.1,-42
56,0.1,-0.8,0.4,9.3,0.93,0.412310563,,-6.4,21.2,-18.1,28.6,,56,0.8,-18.1,-42
57,0.2,-1,0.4,11.2,1.12,0.447213595,,-7.2,67.8,-36.5,77.3,,57,1,-36.5,18
58,0.2,-1.1,0.3,11.7,1.17,0.360555128,,40.5,43.6,-84.7,103.5,,58,1.1,-84.7,48
59,0.2,-1.2,0.3,12.5,1.25,0.360555128,,55.2,40.7,-116.3,135,,59,1.2,-116.3,78
60,0.2,-1.1,0.4,11.8,1.18,0.447213595,,56.6,13.3,-125.8,138.6,,60,1.1,-125.8,48
61,0.3,-0.9,0.3,9.8,0.98,0.424264069,,35.8,7,-95.4,102.1,,61,0.9,-95.4,-12
62,0.3,-0.7,0.3,8.6,0.86,0.424264069,,3.7,21.4,-48.7,53.3,,62,0.7,-48.7,-72
63,0.3,-0.8,0.3,8.9,0.89,0.424264069,,-31.5,18.4,14.5,39.3,,63,0.8,14.5,-42
64,0.3,-0.8,0.4,9.9,0.99,0.5,,-50.5,7,58.8,77.8,,64,0.8,58.8,-42
65,0.3,-1,0.5,11.4,1.14,0.583095189,,-46.8,-19.2,87.2,100.8,,65,1,87.2,18
66,0.4,-1,0.5,12.3,1.23,0.640312424,,-15.5,-56.8,88.7,106.5,,66,1,88.7,18
67,0.3,-1,0.5,11.2,1.12,0.583095189,,-16.9,-58.6,84.4,104.2,,67,1,84.4,18
68,0.2,-1,0.4,10.6,1.06,0.447213595,,-6.6,-21.8,59.5,63.7,,68,1,59.5,18
69,0.1,-1,0.4,10.7,1.07,0.412310563,,-2.8,-35.6,54.8,65.4,,69,1,54.8,18
70,0.1,-0.8,0.4,9.4,0.94,0.412310563,,-0.4,-27.8,26.6,38.5,,70,0.8,26.6,-42
71,0.1,-0.9,0.5,10,1,0.509901951,,-15.7,3.5,24.5,29.3,,71,0.9,24.5,-12
72,0.1,-0.9,0.5,10.4,1.04,0.509901951,,-7.5,11.9,10.3,17.4,,72,0.9,10.3,-12
73,0.1,-0.8,0.6,10.2,1.02,0.608276253,,8.8,5.8,-21.4,23.8,,73,0.8,-21.4,-42
74,0.2,-0.9,0.5,10.6,1.06,0.538516481,,10.3,50,-40.2,65,,74,0.9,-40.2,-12
75,0.2,-1,0.4,11,1.1,0.447213595,,25.4,57.7,-62.2,88.6,,75,1,-62.2,18
76,0.1,-1.1,0.4,12,1.2,0.412310563,,37.2,6.4,-78.9,87.4,,76,1.1,-78.9,48
77,0.1,-1,0.4,10.8,1.08,0.412310563,,40.5,-1,-96,104.2,,77,1,-96,18
78,0.1,-1,0.4,10.5,1.05,0.412310563,,25.3,-0.1,-78.6,82.6,,78,1,-78.6,18
79,0.3,-0.8,0.3,8.9,0.89,0.424264069,,0.9,-43.7,-37.1,57.3,,79,0.8,-37.1,-42
80,0.3,-0.8,0.3,9,0.9,0.424264069,,-24.8,-16,6.7,30.3,,80,0.8,6.7,-42
81,0.2,-0.9,0.4,9.7,0.97,0.447213595,,-43.8,-2.5,54.6,70.1,,81,0.9,54.6,-12
82,0.3,-1,0.4,11.3,1.13,0.5,,-54.7,-1.2,94.5,109.2,,82,1,94.5,18
83,0.2,-1.1,0.4,12.1,1.21,0.447213595,,-44.1,-0.7,98.1,107.6,,83,1.1,98.1,48
84,0.2,-1.2,0.4,13,1.3,0.447213595,,-19.4,-22,80.1,85.3,,84,1.2,80.1,78
85,0.2,-1,0.4,10.9,1.09,0.447213595,,6.7,-45.1,47.3,65.7,,85,1,47.3,18
