,,,,,,,,,,,,,AY,gz
296,-0.2,1,0.3,10.7,,296,-22,-64.1,-83.2,107.3,,296,10,-83.2
297,-0.2,1.1,0.3,11.2,,297,-32.8,-62,-73.7,101.8,,297,11,-73.7
298,-0.2,1,0.3,10.2,,298,-37.7,-20.2,-72.1,83.8,,298,10,-72.1
299,-0.2,0.8,0.3,9.1,,299,-37.1,-5.9,-41.5,56,,299,8,-41.5
300,-0.2,0.7,0.3,8.3,,300,-20.2,15.1,-4.9,25.7,,300,7,-4.9
301,-0.2,0.7,0.3,7.9,,301,12.6,34,54.3,65.4,,301,7,54.3
302,-0.2,0.9,0.3,9.8,,302,30.8,2.5,66.4,73.3,,302,9,66.4
303,-0.2,1,0.3,10.5,,303,29.5,37.3,84.4,96.9,,303,10,84.4
304,-0.2,0.9,0.3,9.9,,304,23.9,55.8,82.9,102.7,,304,9,82.9
305,-0.2,1.1,0.4,11.7,,305,17.7,31.3,68.6,77.5,,305,11,68.6
306,-0.2,0.9,0.3,10.2,,306,5.4,32.3,27.3,42.6,,306,9,27.3
307,-0.1,0.8,0.4,9,,307,3.6,30.6,15.4,34.5,,307,8,15.4
308,-0.2,0.9,0.4,9.9,,308,5.6,-15.2,-1.2,16.3,,308,9,-1.2
309,-0.1,0.8,0.2,8.3,,309,-11.3,-25.1,-35.9,45.3,,309,8,-35.9
310,-0.2,1,0.2,9.9,,310,-11.3,-33.6,-50.3,61.5,,310,10,-50.3
311,-0.2,1,0.3,10.5,,311,-12.6,-75.8,-79,110.2,,311,10,-79
312,-0.2,1,0.3,11.1,,312,-26.1,-57.3,-76.4,99,,312,10,-76.4
313,-0.2,1,0.3,10.2,,313,-39.1,-31.7,-70.9,87,,313,10,-70.9
314,-0.2,0.9,0.3,10.2,,314,-48.4,-20,-63.9,82.6,,314,9,-63.9
315,-0.2,0.7,0.3,8.1,,315,-33.5,28.5,-31.8,54.3,,315,7,-31.8
316,-0.2,0.7,0.3,7.9,,316,-4.3,21.9,25,33.6,,316,7,25
317,-0.2,0.7,0.3,8.1,,317,19.6,44.9,53.2,72.3,,317,7,53.2
318,-0.2,0.9,0.3,9.8,,318,28.1,30.5,94.4,103.1,,318,9,94.4
319,-0.2,1,0.3,10.9,,319,23.9,47.1,114.6,126.1,,319,10,114.6
320,-0.2,1.1,0.3,12,,320,21.5,35.4,88.7,97.9,,320,11,88.7
321,-0.1,1,0.3,10.2,,321,6.9,52.3,45.7,69.8,,321,10,45.7
322,-0.1,0.9,0.3,9.2,,322,4.3,45,23.9,51.2,,322,9,23.9
323,-0.2,0.8,0.4,8.9,,323,10.6,-4.4,12.4,16.9,,323,8,12.4
324,-0.1,0.7,0.3,7.9,,324,2.7,-43.5,-11.7,45.1,,324,7,-11.7
325,-0.2,1,0.3,10.6,,325,-6.8,-50.6,-40.9,65.4,,325,10,-40.9
326,-0.2,1.1,0.3,11.3,,326,-21.8,-83.6,-84.2,120.6,,326,11,-84.2
327,-0.1,1.1,0.3,11.4,,327,-43,-71.8,-100.8,131,,327,11,-100.8
328,-0.1,1.1,0.3,10.9,,328,-51.3,-29.9,-79.9,99.5,,328,11,-79.9
329,-0.2,1,0.3,10.1,,329,-37.2,-21.8,-61,74.7,,329,10,-61
330,-0.1,0.8,0.3,8.3,,330,-29.4,10.2,-27.4,41.4,,330,8,-27.4
331,-0.2,0.8,0.3,8.8,,331,-14.5,28.8,16.2,36.1,,331,8,16.2
332,-0.2,0.7,0.3,7.5,,332,7.5,60.7,49.7,78.8,,332,7,49.7
333,-0.2,0.8,0.4,9.1,,333,24.6,24.9,90.9,97.4,,333,8,90.9
334,-0.2,1.1,0.3,11.3,,334,28.4,40.8,117.8,127.8,,334,11,117.8
335,-0.2,1.1,0.3,11.5,,335,24.6,43.5,102.3,113.8,,335,11,102.3
336,-0.1,0.9,0.3,10,,336,5.3,53.4,51.8,74.6,,336,9,51.8
337,-0.1,0.9,0.3,9.3,,337,-0.8,31,23.8,39.1,,337,9,23.8
338,-0.1,0.8,0.3,8.9,,338,5.8,-2.5,13.2,14.6,,338,8,13.2
339,-0.1,0.8,0.4,9.1,,339,16,-21.6,-8.2,28.1,,339,8,-8.2
340,-0.1,0.8,0.2,8.3,,340,-8.8,-27.6,-48.5,56.4,,340,8,-48.5
341,-0.2,1,0.2,10,,341,-9.9,-26,-54.7,61.4,,341,10,-54.7
342,-0.2,1.1,0.2,11.2,,342,-9.4,-92.3,-72.8,117.9,,342,11,-72.8
343,-0.2,1.1,0.2,11.4,,343,-27.3,-41.3,-95.4,107.5,,343,11,-95.4
344,-0.2,1,0.2,10.5,,344,-28.5,-15.5,-89.8,95.5,,344,10,-89.8
345,-0.2,0.8,0.3,8.7,,345,-12.4,-15.1,-63.2,66.2,,345,8,-63.2
346,-0.2,0.8,0.3,8.5,,346,-11.6,-6.5,-12.2,18,,346,8,-12.2
347,-0.3,0.9,0.2,9.6,,347,2.1,4.4,35.2,35.5,,347,9,35.2
348,-0.3,0.8,0.3,9.3,,348,22.5,11.6,51.4,57.3,,348,8,51.4
349,-0.1,0.9,0.3,9.5,,349,23.2,25.2,80.7,87.6,,349,9,80.7
350,-0.2,1,0.3,10.6,,350,14.6,48.9,97.7,110.3,,350,10,97.7
351,-0.2,1,0.3,10.9,,351,10,39.5,78.2,88.2,,351,10,78.2
352,-0.2,0.9,0.3,9.5,,352,5,51.3,44.2,67.8,,352,9,44.2
353,-0.1,0.9,0.3,9.5,,353,6.9,25.7,24.7,36.3,,353,9,24.7
354,-0.1,0.8,0.3,8.7,,354,10.4,-11.2,-2.1,15.5,,354,8,-2.1
355,-0.1,0.9,0.4,10.1,,355,-5,-37.1,-20.9,42.8,,355,9,-20.9
356,-0.1,1.1,0.3,11.1,,356,-25.2,-24.4,-53.9,64.4,,356,11,-53.9
357,-0.2,1,0.3,10.4,,357,-22.1,-37.3,-71.6,83.7,,357,10,-71.6
358,-0.1,0.9,0.2,9.6,,358,-19.2,-52.7,-69.7,89.5,,358,9,-69.7
359,-0.2,1,0.3,10.9,,359,-15.4,-37.6,-42.4,58.7,,359,10,-42.4
360,-0.3,1,0.3,10.6,,360,-28.6,-6.1,-57.4,64.4,,360,10,-57.4
361,-0.3,0.8,0.3,8.7,,361,-31.9,36.8,-34.2,59.5,,361,8,-34.2
362,-0.3,0.7,0.3,8.4,,362,-19.1,24.9,5.9,31.9,,362,7,5.9
363,-0.2,0.8,0.3,8.8,,363,-0.8,28.1,64.9,70.7,,363,8,64.9
364,-0.2,0.9,0.3,10,,364,16.4,27.5,82,88.1,,364,9,82
365,-0.2,1,0.3,10.8,,365,17.2,32.5,90.8,98,,365,10,90.8
366,-0.2,1,0.3,10.4,,366,7.9,61.2,80.1,101.1,,366,10,80.1
367,-0.2,1,0.3,11.1,,367,2,38.3,57.6,69.2,,367,10,57.6
368,-0.1,0.9,0.4,10.1,,368,-6.2,24.7,35,43.3,,368,9,35
369,-0.1,0.8,0.4,8.8,,369,-2.2,25.5,15.3,29.8,,369,8,15.3
370,-0.1,0.8,0.4,8.6,,370,-0.8,8.1,-3.1,8.8,,370,8,-3.1
371,-0.1,0.9,0.4,10.1,,371,-3.2,-5.5,-14.5,15.9,,371,9,-14.5
372,-0.1,1,0.3,10.3,,372,-17.1,9.2,-47.8,51.6,,372,10,-47.8
373,-0.1,0.9,0.3,9.8,,373,-4.9,-24.1,-61.9,66.6,,373,9,-61.9
374,-0.1,0.9,0.3,10.1,,374,-6.6,-9.3,-60.7,61.8,,374,9,-60.7
375,-0.1,0.9,0.3,9.8,,375,-4.9,-3,-43.5,43.9,,375,9,-43.5
376,-0.2,0.9,0.3,9.6,,376,-7,-14,-35.1,38.4,,376,9,-35.1
377,-0.2,0.8,0.3,8.8,,377,-4.9,25.5,6.3,26.7,,377,8,6.3
378,-0.3,0.9,0.3,9.8,,378,15.7,12.3,48.9,52.8,,378,9,48.9
379,-0.2,1,0.3,10.2,,379,1.8,44.1,41.4,60.5,,379,10,41.4
380,-0.3,0.9,0.2,9.2,,380,3.2,87.7,36.1,94.9,,380,9,36.1
381,-0.2,0.9,0.3,9.6,,381,4.1,5.3,38.3,38.9,,381,9,38.3
382,-0.2,0.9,0.3,10,,382,-7.9,37.5,21.5,43.9,,382,9,21.5
383,-0.2,0.9,0.3,9.5,,383,-12.4,19.3,6.7,23.9,,383,9,6.7
384,-0.2,0.9,0.3,9.6,,384,-6.6,9.5,9.4,14.9,,384,9,9.4
385,-0.1,0.9,0.3,9.7,,385,-4.8,1.1,0.1,4.9,,385,9,0.1
386,-0.1,0.9,0.3,9.5,,386,-2.6,-4.4,-7.4,9,,386,9,-7.4
387,-0.1,0.9,0.3,9.6,,387,-0.4,-8.7,-5.6,10.4,,387,9,-5.6
388,-0.1,0.9,0.3,9.7,,388,0.8,-13.6,-6.4,15,,388,9,-6.4
389,-0.1,0.9,0.3,9.6,,389,0,-9.7,-4.3,10.6,,389,9,-4.3
390,-0.1,0.9,0.3,9.7,,390,0.7,-9.6,-1.8,9.8,,390,9,-1.8
391,-0.1,0.9,0.3,9.7,,391,0.3,-7,-0.5,7.1,,391,9,-0.5
392,-0.1,0.9,0.3,9.7,,392,-1.4,-3,0.2,3.3,,392,9,0.2
393,-0.1,0.9,0.3,9.6,,393,-1.1,-1.6,-0.4,2,,393,9,-0.4
394,-0.1,0.9,0.3,9.7,,394,1.8,-3.8,1.3,4.4,,394,9,1.3
395,-0.1,0.9,0.3,9.8,,395,1.5,-4.8,-0.5,5.1,,395,9,-0.5
396,-0.1,0.9,0.3,9.7,,396,0.6,-7.2,-0.3,7.2,,396,9,-0.3
397,-0.1,0.9,0.3,9.7,,397,-5,0.9,0,5.1,,397,9,0
398,-0.1,0.9,0.3,9.6,,398,-6,3.2,-0.3,6.8,,398,9,-0.3
399,-0.1,0.9,0.3,9.6,,399,-3.6,1.4,1.7,4.3,,399,9,1.7
400,-0.1,0.9,0.3,9.7,,400,-4.1,2.3,1.2,4.8,,400,9,1.2
401,-0.1,0.9,0.3,9.7,,401,-4.1,1.2,0.6,4.3,,401,9,0.6
402,-0.1,0.9,0.3,9.6,,402,-2.4,-0.3,-0.6,2.5,,402,9,-0.6
403,-0.1,0.9,0.3,9.6,,403,0,-1.7,-0.7,1.9,,403,9,-0.7
404,-0.1,0.9,0.3,9.7,,404,0.6,0.3,0.2,0.7,,404,9,0.2
405,-0.1,0.9,0.3,9.6,,405,0.2,2,0.5,2.1,,405,9,0.5
406,-0.1,0.9,0.3,9.7,,406,-0.6,1.8,0.3,1.9,,406,9,0.3
407,-0.1,0.9,0.3,9.7,,407,-1.6,2.2,0.5,2.8,,407,9,0.5
408,-0.1,0.9,0.3,9.7,,408,-1.6,1.7,0.8,2.5,,408,9,0.8
409,-0.1,0.9,0.3,9.7,,409,-1.9,0.9,-0.6,2.2,,409,9,-0.6
410,-0.1,0.9,0.3,9.7,,410,-1.7,-1.1,-0.5,2.1,,410,9,-0.5
411,-0.1,0.9,0.3,9.7,,411,-2.4,-2.6,0,3.5,,411,9,0
412,-0.1,0.9,0.3,9.6,,412,-2.2,-2.5,0.7,3.4,,412,9,0.7
413,-0.1,0.9,0.3,9.7,,413,-2.3,-2.1,0.5,3.1,,413,9,0.5
414,-0.1,0.9,0.3,9.6,,414,-2.2,-0.4,-0.1,2.3,,414,9,-0.1
415,-0.1,0.9,0.3,9.6,,415,-2.3,0.2,-0.7,2.4,,415,9,-0.7
416,-0.1,0.9,0.3,9.8,,416,-2.9,1,0,3,,416,9,0
417,-0.1,0.9,0.3,9.7,,417,-3.5,0.1,0.5,3.5,,417,9,0.5
418,-0.1,0.9,0.3,9.8,,418,-4,1.9,1.4,4.6,,418,9,1.4
419,-0.1,0.9,0.3,9.6,,419,-4,1,1.4,4.4,,419,9,1.4
420,-0.1,0.9,0.3,9.7,,420,-2.3,0.6,1.9,3.1,,420,9,1.9
421,-0.1,0.9,0.3,9.6,,421,-2.9,2,0.3,3.6,,421,9,0.3
422,-0.1,0.9,0.3,9.7,,422,-2.1,1.8,0.2,2.8,,422,9,0.2
423,-0.1,0.9,0.3,9.7,,423,-2.2,1,0.6,2.5,,423,9,0.6
424,-0.1,0.9,0.3,9.7,,424,-2,0,0.7,2.1,,424,9,0.7
425,-0.1,0.9,0.3,9.7,,425,-2,0.2,1.2,2.4,,425,9,1.2
426,-0.1,0.9,0.3,9.6,,426,-2.2,-0.4,-0.4,2.3,,426,9,-0.4
427,-0.1,0.9,0.3,9.6,,427,-2.8,0.4,-0.9,3,,427,9,-0.9
428,-0.1,0.9,0.3,9.6,,428,-1.5,-1,-0.3,1.9,,428,9,-0.3
429,-0.1,0.9,0.3,9.6,,429,-1.2,-1.4,-0.7,2,,429,9,-0.7
430,-0.1,0.9,0.3,9.7,,430,-1.7,-0.4,-0.8,2,,430,9,-0.8
431,-0.1,0.9,0.3,9.7,,431,-1.5,0.1,0.2,1.5,,431,9,0.2
432,-0.1,0.9,0.3,9.7,,432,-2,0.7,-0.2,2.2,,432,9,-0.2
433,-0.1,0.9,0.3,9.6,,433,-1.6,1.3,0.6,2.2,,433,9,0.6
434,-0.1,0.9,0.3,9.7,,434,-1.5,1.2,0.7,2.1,,434,9,0.7
435,-0.1,0.9,0.3,9.6,,435,-1.2,0.7,0.4,1.4,,435,9,0.4
436,-0.1,0.9,0.3,9.6,,436,-1.1,0.4,-0.1,1.2,,436,9,-0.1
437,-0.1,0.9,0.3,9.8,,437,-0.8,0.2,0,0.8,,437,9,0
438,-0.1,0.9,0.3,9.7,,438,-1.1,-0.4,0.9,1.5,,438,9,0.9
439,-0.1,0.9,0.3,9.7,,439,-1.2,0.1,-0.1,1.2,,439,9,-0.1
440,-0.1,0.9,0.3,9.7,,440,-1.6,0.6,0.1,1.7,,440,9,0.1
441,-0.1,0.9,0.3,9.7,,441,-1.4,-0.2,0,1.4,,441,9,0
442,-0.1,0.9,0.3,9.6,,442,-1.7,-0.3,0.4,1.8,,442,9,0.4
443,-0.1,0.9,0.3,9.7,,443,-1.5,0.2,0.5,1.6,,443,9,0.5
444,-0.1,0.9,0.3,9.7,,444,-0.5,-0.8,0.7,1.2,,444,9,0.7
445,-0.1,0.9,0.3,9.7,,445,-0.6,-0.5,-0.7,1,,445,9,-0.7
446,-0.1,0.9,0.3,9.7,,446,-1.4,-0.9,0.3,1.7,,446,9,0.3
